,app number,actual,abstract,ipc c,application year
653,US4993810A,0,Electrochromic devices comprising metal salts in an ion conductive material this invention is directed to an electrochromic device which comprises a colorable electrochromic matrix layer consisting essentially of certain metal salts and an ion conduction enhancer in an ion conductive material,G0,1989
654,US9085229B2,0,Fuel tank assemblies components and methods of manufacture a fuel tank assembly includes a fuel tank to contain fuel therein and a carrier assembly disposed in the fuel tank the carrier assembly includes a plurality of application specific fuel system products a carrier common to a plurality of different fuel tank assemblies to carry the products and a plurality of common components to mount the products with respect to the carrier in application specific positions,B2 F0 B6,2008
655,US9166464B2,0,Magnetic gear device and holding member a magnetic gear device including an internal rotor and an external rotor in which a plurality of magnetic pole pairs are each placed in a circumferential direction substantially at equal intervals and a holding member that is placed between the internal rotor and the external rotor and holds a plurality of magnetic materials in the circumferential direction substantially at equal intervals wherein the number of magnetic materials is a difference between or a total of the numbers of magnetic pole pairs the holding member includes a plurality of circular rings that hold the magnetic materials and connecting rods that are placed in the circumferential direction substantially at equal intervals and connect the plurality of circular rings the plurality of circular rings face each other via the magnetic materials and each number of magnetic pole pairs is set to have the number of connecting rods as a divisor,H0,2011
656,US9902421B2,0,Worm reduction gear and steering mechanism in a worm reduction gear a second bearing that supports a second end of a worm shaft and a guide member are housed in a holding hole in a housing a bias member biases the second end of the worm shaft toward the worm wheel in a second direction the guide member is elastically fitted in the holding hole in the housing to guide movement of the second end via the second bearing a slit is fanned in the guide member stress is relieved which is exerted on the guide member when the guide member is elastically fitted in the holding hole,F1 B6,2016
657,US6838257B2,0,Pullulanase variants and methods for preparing such variants with predetermined properties the present invention relates to pullulanase variants wherein the variants have improved properties for example altered ph optimum improved thermostability altered substrate specificity increased specific activity or altered cleavage pattern the present invention also relates to methods of making pullulanase variants having at least one altered property based on the three dimensional structure of a parent pullulanase,C1,2001
658,US10134502B2,0,Resistive heater a composite formulation of the present disclosure may have conductive properties i e low resistance such that the formulation may be used in resistive heating applications the composite may have one or more matrix materials and one or more conductive fillers the composite may be used in the formation of resistive heaters having a number of layers including a conductive layer the conductive layer including the composite heaters of the present disclosure may be used for a number of applications including ground floor or roof heating or laboratory equipment heating,H0,2015
659,US9719320B2,0,Downhole tool with one piece slip embodiments pertain to a downhole tool that includes a mandrel made of a composite material a bearing plate disposed around the mandrel the bearing plate having an angled inner plate surface configured for engagement with a mandrel surface a composite slip disposed around the mandrel and having a composite slip body configured with a one piece configuration a first cone disposed around the mandrel and proximate to the composite slip a second slip disposed around the mandrel a sealing element disposed around the mandrel and a lower sleeve coupled to the mandrel and proximate to a second side of the metal slip,E2,2016
660,US9719000B2,0,Hot melt adhesive and method of forming the same a hot melt adhesive hma which is solid at room temperature comprises the reaction product of to by weight of an isocyanate component having an nco content of from about to about by weight to by weight of a polyester and to by weight of a hydroxy polymer having an oh number of from about to about a method of forming the adhesive comprises the step of combining the isocyanate component polyester and hydroxy polymer to form the adhesive the adhesive can be used for various purposes such as for forming an adhesive layer which adhesively couples surfaces together,B3 C0,2014
661,US9787150B2,0,Rotor of brushless motor a rotor of a brushless motor used in a fuel pump includes a permanent magnet having first and second ends that are configured to have a thickness ratio so that a degree of margin of those ends which is a difference between an allowable stress and a temperature stress due to expansion and contraction of a rotor core caused by a temperature change is equal to or greater than a preset value as a result a cracking of the permanent magnet on the both ends that is caused by repeated expansions and contractions of the rotor core is prevented,H0,2014
662,US9741737B1,0,Integrated structures comprising vertical channel material and having conductively doped semiconductor material directly against lower sidewalls of the channel material some embodiments include an integrated structure having vertically stacked conductive levels upper conductive levels are memory cell levels and a lower conductive level is a select device level conductively doped semiconductor material is under the select device level channel material extends along the memory cell levels and the select device level and extends into the conductively doped semiconductor material a region of the channel material that extends into the conductively doped semiconductor material is a lower region of the channel material and has a vertical sidewall tunneling material charge storage material and charge blocking material extend along the channel material and are between the channel material and the conductive levels the tunneling material charge storage material and charge blocking material are not along at least a portion of the vertical sidewall of the lower region of the channel material and the conductively doped semiconductor material is directly against such portion some embodiments include methods of forming integrated structures,H0,2016
663,US9228479B2,0,Marine diesel engines in a marine conversion of a duramax v diesel engine each bank of cylinders has a jacketed exhaust manifold including a solid elongated casting including coolant galleries and a central exhaust duct recirculating coolant cools each cylinder then enters the exhaust manifold through separate apertures aligned with openings made by removal of a frost plug each manifold coolant aperture has a controlled diameter ensuring most of the coolant passes along the length of the engine then along the manifold yet enough coolant cools each cylinder the coolant then traverses and cools a manifold extension and a turbocharger,F0 B6,2013
664,US9791013B2,0,Anti tilt feature for torsion spring for default to park lever in a default to park system for a transmission a lever member has a cylindrical hub configured to rotate about a spindle the lever member has a transverse plate including a lever arm connected to a park release actuator and to a link to a park pawl of the transmission under normal operation a transmission controller shifts the actuator to turn the lever arm and release the park pawl so the transmission can rotate in an absence of a signal from the controller to the actuator a bias spring restores the lever arm so that the transmission is locked the bias spring comprises torsion coils disposed over the hub a fixed end and a drive end the drive end has a heel segment bearing against a transverse surface of the transverse plate facing the torsion coils and a loading hook wrapped around an edge of the transverse plate,F1 B6,2015
665,US9055750B2,0,Fungicidal pyrimidine compounds the present invention relates to fungicidal pyrimidine compounds i to their use and to methods for combating phytopathogenic fungi the present invention also relates to seeds treated with at least one such compound furthermore the invention relates to processes for preparing compounds of formula i,C0 A6 A0,2013
666,US5188749A,0,R22 R124 R142b refrigerant blends refrigerant mixtures of the hcfcs monochlorodifluoromethane chloro tetrafluoroethane and chloro difluoroethane whose composition falls within the area of polygon klts of the figure,C0,1991
667,US8837763B1,0,Inertially balanced miniature low frequency speaker system an inertially balanced miniature passive radiator full range loudspeaker system is disclosed in one embodiment the speaker system is a two way system with low and high frequency components where the low frequency component is comprised of one active transducer and two passive radiators and the frequency range for this component is not outside of hz to hz the low and high frequency components are individually optimized for operation in low and high frequency ranges respectively by placing the passive radiators on opposing sides of an enclosure of the speaker system the momentum generated by the motion of each of the passive radiators substantially cancels when the passive radiators are in phase a passive radiators may be fitted with a voice coil electrically connected to a corresponding voice coil on the other passive radiator in a pair such that the generated back emf resists out of phase motion of the passive radiators,H0,2012
668,US10072100B2,0,Oxidized poly alpha 1 3 glucan compositions comprising oxidized poly alpha glucan compounds are disclosed herein oxidized poly alpha glucan compounds are produced by contacting poly alpha glucan under aqueous conditions with at least one n oxoammonium salt,C1 C0,2017
669,US9653224B2,0,Interruption apparatus employing actuator having movable engagement element an improved interruption apparatus includes a plurality of poles with each of the poles including an actuator in one embodiment the actuator can be a fuse having a movable engagement element and in another embodiment the actuator can be an electric coil that is operable to move a movable engagement element the interruption apparatus has a single trip unit and the engagement element of any actuator can actuate the trip unit to move all of the poles from a closed state to an open state,H0,2015
670,US4885660A,0,Electrolytic capacitor for use in a wide temperature range and high voltages an electrolytic capacitor having aluminum anode and cathode members separated by an insulating spacer impregnated with an electrolyte which is free of dibasic acids including citric acid the electrolyte consists essentially of a solution of boric acid and an amine having a molecular weight of not greater than in a mixture of a member of the group consisting of butzrolactone dimethylacetamide and dimechylformamide and mixtures of dimethylacetamide and dimethylformamide in a major amount and a polyalkylene glycol having a molecular weight of not greater thann in a minor amount the capacitor is adapted for use at a medium to high operating voltage and over a wide temperature range and to develop little or no gas even when operated at voltages above,H0,1989
671,US5406877A,0,Steering lifting appliance a steering lifting appliance for a hydraulic or pneumatic axle compensation appliance configured as a two circuit system having a first external jacket tube a second jacket tube inserted in a pressure tight manner in the first jacket tube and supported so as to be longitudinally displaceable a piston device present in a pressure tight manner in the second jacket tube and supported so as to be longitudinally displaceable a first closed chamber system to which admission can occur from the outside for controlling the relative displacement between the second jacket tube and the first jacket tube and a second closed chamber system to which admission can occur from the outside for controlling the relative displacement between the piston device and the second jacket tube features a torsion device supported in an end region of the piston device and longitudinally displaceable relative to the piston device which torsion device is in engagement with a second skirt profile of the second jacket tube surrounding the wall of the piston device at least regionally in such a way that turning of the torsion device effects turning of the second jacket tube,F0,1993
672,US9537110B2,0,Chalcogen containing organic compound and use thereof an organic compound represented by formula or formula that is easy to synthesize and has excellent chemical stability semiconductor characteristics high carrier mobility and high solubility in a solvent in formula x is oxygen sulfur or selenium n is or r to r are hydrogen fluorine alkyl having to carbons aryl pyridyl furyl thienyl thiazolyl or the like however except for a case where x is selenium a case where all of r to r are simultaneously hydrogen is excluded and a case where x is sulfur and all of r are simultaneously butyl is also excluded in formula x is oxygen sulfur or selenium n is or r to r are hydrogen alkyl having to carbons aryl pyridyl furyl thienyl thiazolyl or the like however a case where all of r to r are simultaneously hydrogen is excluded,H0 C0,2013
673,US9788848B2,0,Laparoscopic forceps assembly a laparoscopic forceps comprising a handpiece including a distal end portion a tubular member protruding from the distal end portion of the handpiece the tubular member having a distal end a pair of jaws having legs that are disposed within the tubular member and partially protruding from the distal end of the tubular member the pair of jaws and the tubular member being movable relative to each other in a direction parallel to a longitudinal axis of the tubular member wherein each of the pair of jaws has an arcuate section and the pair of jaws are closable by advancing the tubular member over the arcuate section of the jaws and an operable mechanism for creating relative motion between the pair of jaws and the tubular member along a direction parallel to the axis of the tubular member wherein at the distal end portion of the tubular member there is a profile shape that is non circular,A6,2014
674,US8800829B2,0,Stress reducer for shoulder and the use thereof a stress reducer is provided for reducing stress on a user from a load of a carried item or object the stress reducer is shaped as a yoke and worn over a shoulder of a user and supports the carried item or object the yoke bridges or spans the shoulder of the user substantially the upper part of the trapezius muscle and or the collarbone the yoke is in contact with either side of the upper part of the user s shoulder on an anterior and or posterior side the stress reducer can be used with strap means a carried item equipped with a stress reducer a brassiere fitted with a stress reducer and a garment having a stress reducer attached thereto are also provided as well as an arm carrier comprising a stress reducer a cradle being attached to an arm and a string being connected between the stress reducer and the cradle,A4,2006
675,US8954635B2,0,Buffer management using freelist buffers a device includes a link interface circuit a first plurality of allocated buffers and a second plurality of non allocated buffers the link interface circuit is operable to communicate over a communications link using a plurality of virtual channels a different subset of the plurality of allocated buffers is allocated to each of the virtual channels the non allocated buffers are not allocated to a particular virtual channel the link interface circuit is operable to receive a first transaction over the communications link and assign the first transaction to one of the allocated buffers or one of the non allocated buffers,G0,2011
676,US8981157B2,0,Gas phase heterogeneous catalytic oxidation of alkanes to aliphatic ketones and or other oxygenates a catalyst its method of preparation and its use for producing aliphatic ketones by subjecting alkanes c to c to a gas phase catalytic oxidation in the presence of air or oxygen and optionally steam and or one or more diluting gases the catalyst comprises a catalytically active mixed metal oxide phase and a suitable support material onto and or into which the active catalytic phase id dispersed,B0 C0,2012
677,US8993712B2,0,Method for producing biocidal polyguanidine and biocidal polyguanidine the inventions relate to antiseptic agents and the method for producing thereof and can be used as a broad spectrum disinfectant in medicine veterinary medicine agriculture etc the method for producing of biocidal polyguanidine that comprises condensation polymerization of hexamethylenediamine with guanine salt additionally uses hydrazine hydrate during the condensation polymerization process at the following ratio of components mass biocidal polyguanidine obtained by means of the abovementioned method with the following formula where the inventions allow obtaining a biocidal polyguanidine with high level of broad spectrum antimicrobial activity,C0 A6,2010
678,US7932572B2,0,Semiconductor device having memory element with stress insulating film provided are a semiconductor device having an mtj element capable of intentionally shifting the variation at the time of manufacture of a switching current of an mram memory element in one direction and a manufacturing method of the device the semiconductor device has a lower electrode having a horizontally long rectangular planar shape an mtj element having a vertically long oval planar shape formed on the right side of the lower electrode and an mtj s upper insulating film having a horizontally long rectangular planar shape similar to that of the lower electrode and covering the mtj element therewith as the mtj s upper insulating film a compressive stress insulating film or a tensile stress insulating film for applying a compressive stress or a tensile stress to the mtj element is employed,H0,2009
679,US9758747B2,0,External structuring system for liquid laundry detergent composition liquid or gel form detergents can be externally structured with a structuring system comprising crystallizable glyceride s emulsified with an alkanolamine neutralized anionic surfactant crystallizable glyceride s of use include hydrogenated castor oil the liquid or gel form detergents may be packaged in unit dose form,C1,2010
680,US4711322A,0,Elevator cab an elevator cab having a drop ceiling which includes a frame and hanger straps for supporting drop ceiling panels the hanger straps have first ends pivotally attached to the frame and they pivot from a low profile shipping position to an extended operating position the second ends of the hanger straps when in their operative positions extend through first openings in the cab ceiling or canopy with the second ends having tab portions which are bent to secure the second ends of the hanger strap to the canopy the tabs are bent by an installer from a position inside the elevator cab by use of a tool which is disposed through second openings in the canopy,B6 E0,1986
681,US9137952B1,0,Method and system of growing soilless sod a growing tray system for growing soilless plants and sod utilizing trays for growing plants and sod without soil wherein the trays are easily stackable movable and are contoured with shapes such that roots may grow downward around the contoured shapes promoting interwoven geometric root structures,A0,2013
682,US9922741B2,0,Method for the pre calcining treatment of an aqueous nitric solution comprising at least one radionuclide and optionally ruthenium a method for treating before calcination a nitric aqueous solution comprising at least one radionuclide and ruthenium is provided the method comprises a step for adding to the solution a compound selected from lignins lignocelluloses optionally as salts and mixtures thereof,G2,2011
683,US9450365B1,0,Locking electrical device an electrical receptacle including a body having a plurality of electrical connections a device face connected to the body and movable with respect to the body a plurality of electrical plug contacts positioned behind the device face and wherein the electrical plug contacts retain an electrical plug prong at a first tension when the device face is in a first position and the electrical plug contacts retain the electrical plug prong at a second tension when the device face is in a second position,H0,2015
684,US9809399B1,0,Air driven container twisting system an air driven container twisting system is configured for changing orientation of containers moving through a material handling system the air driven container twisting system may include a container guide that extends through an air drive arrangement with the container guide configured to direct containers longitudinally while simultaneously rotating the containers while moving through the air driven container twisting system without the need of declining elevation change and gravity assist,B6,2016
685,US4599436A,0,Forms of aurothiomalate having therapeutic advantage sodium aurothiomalate used as a therapeutic agent or as a component in a therapeutic agent is shown to be a mixture of substances one of which is non toxic to blood platelets shows specific spectral absorption visibility and does not demonstrate the usual irregular gold containing particles in platelets as well as being an improvement on the mixture currently employed the colorless state of sodium aurothiomalate shows promise as an antithrombitic agent,C0,1983
686,US9347545B2,0,Transmission vent cap a vent cap for a transmission is provided the vent cap includes an insertion part for attaching the vent cap to the transmission the insertion part has portions forming a first channel through the insertion part the vent cap also has a vent part for attaching the vent cap to a hose the vent part is attached to the insertion part the vent part may have a vent base and a hose attachment portion extending from the vent base wherein the hose attachment portion defines a second channel therethrough the second channel is in communication with the first channel the second channel may be orientated substantially perpendicular to the first channel the insertion part may have at least one insertion attachment feature that mates with at least one vent attachment features of the vent part,B6 F1,2012
687,US8950998B2,0,Batch substrate handling a substrate handling vacuum robot includes a first robotic arm with a single substrate end effector and a second robotic arm with a batch end effector the single substrate end effector permits single substrate pick and place operations while the batch end effector permits batch handling of substrates within a vacuum environment,H0 B6 B2 G0,2008
688,US7150734B2,0,Bag for packaging liquid biological substances having an integrated cannula a packaging bag for a liquid biological substance such as animal semen including two walls made of plastic material joined in such a manner as to delimit a pouch for receiving the substance and communicating with the pouch an evacuation conduit whose end part in the absence of opening of the bag is closed by the joined walls wherein force fitted in the conduit a cannula being able to communicate with the pouch is provided while a second end of the cannula is situated in the proximity of the end part of the conduit having a conical or substantially conical constriction and wherein conduit communicates over a part of its length with at least one zone situated not far from the end part in which the two walls are not joined,A6 B6,2001
689,US10122231B2,0,Rotor and rotary electric machine each of permanent magnets includes a magnet body formed across the radial direction of a rotor core and a pair of magnet end parts bending toward the outer peripheral side of the magnet body and extending respectively from both ends of the magnet body in the peripheral direction toward the outer edge of the rotor core magnetization directions of the magnet end parts and a magnetic pole center line intersect with each other on the outer peripheral side of the magnet body the inclination angle of each magnetization direction of the magnet end parts with respect to the magnetic pole center line is greater than the inclination angle of a magnetization direction of the magnet body with respect to the magnetic pole center line,H0,2013
690,US7565159B2,0,Methods and arrangement for implementing an active call handover by employing a switching component an active call handover arrangement for managing a handover between a plurality of telecommunication devices associated with a public extension number is provided the arrangement includes a mobility server configured to manage a telecommunication session between a telecommunication device of a third party caller and a first telecommunication device of the plurality of telecommunication devices the arrangement also includes a switch component configured to be associated with at least one telecommunication device of the plurality of telecommunication devices at least one telecommunication device is configured to include mobility client software the switch component is also configured to enable a user to perform the handover between the first telecommunication device and a second telecommunication device of the plurality of telecommunication devices,H0,2007
691,US7798235B2,0,Safety valve torsional spring assembly and method a safety valve assembly comprises a valve body a flapper mount flapper and a hinge used to rotate the flapper in an opened or closed position torsional pins are mounted adjacent the flapper mount each having ends which extend into the hinge and terminating adjacent each other at a location along the hinge torsional springs are circumferentially mounted around the torsional pins tabs extend from the torsional springs and contact an actuation member extending over the top of the flapper as such the torque created by the torsional springs is transferred to the actuation member via the tabs thereby reducing the stress on the torsional springs,E2,2008
692,US7385963B1,0,System and method for communicating telecommunication information from a telecommunication network to a broadband network a system for communicating telecommunication information includes a memory a telecommunication interface module and packetization modules the memory stores subscriber profiles associating each of several subscribers with a data communication protocol the telecommunication interface module receives telecommunication information for a subscriber from a telecommunication network and the packetization modules generate data packets communicating the telecommunication information according to a data communication protocol associated with the subscriber,H0,2000
693,US9627290B2,0,Bump structure design for stress reduction low stress bumps can be used to reduce stress and strain on bumps bonded to a substrate with different coefficients of thermal expansion ctes from the die the low stress bumps include multiple polymer layers more than one type of bump is coupled to a die with low stress bumps placed on areas subjected to high stress,H0,2011
694,US9958185B2,0,Solar thermal concentrator and method of forming same a concentrator tube comprises a reflector portion having two walls and an aperture closing an opening to the reflector portion the aperture and the reflector portion extend longitudinally the aperture is substantially flat relative to curvature of the reflector portion,F2 B2,2013
695,US9610873B2,0,Fully collapsing armrest insert with tunable tensioning elements a collapsible vehicular armrest substrate includes load bearing strips extending across a gap defined within a support frame a first tunable element secures the load bearing strips in a support position on the support frame a first tension adjusting portion sets a predetermined first tension limit of the first tunable element the load bearing strips disengage from the support position when the first tunable element experiences an actual tension greater than the predetermined first tension limit,B6 A4,2014
696,US7726046B2,0,Clock sandal clock sandal with a flexible sole plate a pair of flexible foot retaining straps a time keeping device and a time keeping device retaining loop the sole plate includes a thin flexible top layer of material the sole heal portion includes a hollow cavity which is covered by a hinged top plate the foot retaining straps are each attached to the left and right heal portion of the sole plate the straps join to form a single strap that is fixedly connected to the portion of the sole plate that corresponds to the space between the wearer s big toe and second toe the time keeping device retaining loop is fixedly attached to the single strap at the strap joining location and the time keeping device is frictionally retained within the time keeping device retaining loop,A4,2008
697,US4757162A,0,Rigid electrical insulator including a lightly tempered soda lime glass dielectric rigid electrical insulator including a soda lime glass dielectric with an average thickness of to mm exhibiting a substantially parabolic stress curve wherein the maximum value of the surface compression stresses at any point in the part falls within the range of to mpa while the maximum value of the internal tensile stresses at any point in the part falls within the range of to mpa,H0,1987
698,US5544909A,0,Step in boot binding a base includes a first bail that is pivotally connected to the base a second bail is pivotally connected to the base an operating arm is connected to the second bail and pivotally connected to the base a trigger mechanism is connected to the second bail to move the second bail from a first unlocked position to a second locked position the operating arm is pivoted in a first direction to cause the second bail to move from the second locked position to the first unlocked position,A6,1994
699,US6162628A,0,Maltogenic alpha amylase variants the inventors have modified the amino acid sequence of a maltogenic alpha amylase to obtain variants with improved properties based on the three dimensional structure of the maltogenic alpha amylase novamyl the variants have altered physicochemical properties e g an altered ph optimum improved thermostability increased specific activity an altered cleavage pattern or an increased ability to reduce retrogradation of starch or staling of bread,C1,1999
700,US9559461B1,0,System and method for aligning a robotic charging connector with a mating connector a system for aligning a robotic charging connector with a mating connector includes a robot comprising a charging connector a self aligning robotic charging dock comprising a floating interface assembly the floating interface assembly comprising a floating interface plate the floating interface assembly further comprising a mating connector the mating connector configured to snugly mate with the charging connector the floating interface assembly further comprising a floating interface configured to align the robotic charging connector with the mating connector the floating interface comprising a sliding surface configured to move against the floating interface plate as the robot docks with the robotic charging dock,H0,2016
701,US8961499B2,0,Surgical instrument a surgical instrument having an elongated arm and a distal end mounted with a pivot joint on the elongated arm a drive shaft substantially coaxial with the elongated arm forms a universal joint facing the pivot joint a distal tool is securely fastened on the drive shaft and rotatively mounted on and in the extension of the distal end of the elongated arm such that the distal tool has two rotational degree of freedom distinct and independent of each other one being around an axis substantially perpendicular to the longitudinal axis of the elongated arm and the other being around an axis substantially collinear to an own axis of the distal tool the elongated arm includes a plurality of linking elements mounted in series to form the pivot joint the universal joint is a cardan joint,A6,2010
702,US6527949B1,0,Landscaping pond system a man made aquatic environment comprises a falls assembly and a skimmer assembly the falls assembly has features designed to help the assembly blend into the surrounding landscape the skimmer assembly has a removable bucket for holding filter media and other means for removing debris from the water before it is pumped from the skimmer to the falls assembly various features of the falls and skimmer assemblies are optimized for manufacturing and storage prior to installation,A0,2001
703,US4594719A,0,Phase locked laser array having a non uniform spacing between lasing regions a phase locked semiconductor array wherein the lasing regions of the array are spaced an effective distance apart such that the modes of oscillation of the different lasing regions are phase locked to one another the center to center spacing between the lasing regions is non uniform this variation in spacing perturbs the preferred degree phase difference between adjacent lasing regions thereby providing an increased yield of arrays exhibiting a single lobed far field radiation pattern,H0,1984
704,US7810407B2,0,Fixed type constant velocity joint a fixed type constant velocity joint has a plurality of torque transmitting ball tacks the torsional angle at the input torque nm in a torque torsional angle diagram be approximately further the torsional rigidity in the vicinity of input torque nm in the torque torsional angle diagram is placed in a range of nm deg to nm deg,B6,2004
705,US8036367B2,0,Flexible communication systems and methods a method of initiating a telecommunication session for a communication device include submitting to one or more telecommunication carriers a proposal for a telecommunication session receiving from at least one of the one or more of telecommunication carriers a bid to carry the telecommunications session and automatically selecting one of the telecommunications carriers from the carriers submitting a bid and initiating the telecommunication session through the selected telecommunication carrier,G0,2007
706,US6579035B1,0,Traffic warning device and method of use a traffic warning device for temporary placement upon the surface of a road includes a single elongated body with a first side having a reflector and a second side and top having a bright color such as international orange the shape and size of the traffic warning device are specifically designed to resist turning over when struck by a vehicle tire when traffic warning device is placed prone bottom down upon the surface of the road the first and second sides form an elongate barrier which extends along the surface of the road thereby alerting a motorist to a road obstruction the present invention comprises a safe one time deployment of reusable barricades thus eliminating the need to use conventional highway flares which burn hazardous materials,E0,2001
707,US7739809B2,0,Shoe having a replaceable portion and replacement method exemplary embodiments of the invention provide a sole assembly having a first fixed portion and a second removable portion wherein the removable portion is removably mounted to allow replacement at least one projection extending from a peripheral edge area of the second portion and configured to be engaged with at least one portion of the sole assembly at least one aperture formed in the second portion and at least one securing device which projects at least partially through the at least one aperture to secure the second portion to the sole assembly,A4,2006
708,US9945398B2,0,Power transmission assembly for a vehicle a power transmission assembly for a vehicle with prime mover prime mover output shaft and right and left traveling devices comprises a power distribution unit that receives rotary power from the prime mover output shaft and distributes it between right and left transmission units which each include a center section with a closed fluid circuit a lateral first portion and a second portion perpendicular thereto a hydraulic pump mounted on the first portion such that a pump shaft is parallel to the prime mover output shaft a hydraulic motor on the second portion fluidly connected to the hydraulic pump via the closed fluid circuit having a lateral motor shaft and a speed reduction device on a distal side of the hydraulic motor that transmits power from the hydraulic motor to the right or left traveling device,B6 F1,2015
709,US9394033B2,0,Flexible rope termination device embodiments described herein provide rope termination devices with flexible members for accommodating fleet angle in the rope without undue frictional wear on the rope a metal connector is fastened to a tail with a flexure in a direction perpendicular to a plane through an axial centerline of the rope termination device the rope wraps around the tail and the metal connector lying in a passage formed around an exterior of the components and may be secured by an overbraid jacket applied around the tail portion of the rope termination device,F1 B6,2014
710,US7816609B2,0,Wired circuit board a wired circuit board is provided having a reinforced part thickened to ensure a high rigidity when it is used while having the reinforced part thinned for easy handling when it is not yet used to prevent a cost increase and a productivity reduction when the wired circuit board is used a folding portion is valley folded to laminate a reinforcing portion on a second connecting portion to contact the back surface of a fourth reinforcing plate of the reinforcing portion with the back surface of a second reinforcing plate of the second connecting portion this achieves to reinforce the second connecting portion with the second reinforcing plate and the reinforcing portion and ensure a high rigidity by thickening the reinforced part since the reinforcing portion is supported in the same plane as a wired circuit portion via the folding portion before it is used the reinforced part can be thinned and easy handling is achieved,H0,2006
711,US6216409A,0,Cladding panel for floors walls or the like in cross section the tongue of a cladding panel has on its bottom face and the bottom lip of the groove has on its top face respectively a second raised portion projecting downward and a complementary second recess shaped so that the second raised portion of the tongue on one panel inter engages with the second recess of the groove of an adjacent panel when one panel is turned relative to the other to form second element of clipping the tongue into the groove,E0,1999
712,US8770103B2,0,Presser assembly having a presser and an improved mounting arrangement for mounting a pressing member to the presser a presser assembly is provided in which a presser plate or presser board mounting adapter is clamped to a lower end of a presser stem a rail having a lower channel and an upper channel is provided for clamping the presser plate or presser board mounting adapter to the stem and more particularly a presser foot coupled to the lower end of the stem the present invention allows the presser plate or the presser board mounting adapter to be mounted to the stem without the use of tools or fasteners,B3 B2,2009
713,US9550153B2,0,Porous polymer flat sheet membrane the present invention provides a porous polymer flat sheet membrane for mbr wherein surface of the porous polymer membrane is kept hydrophilic for a long period and high water permeability and anti fouling properties are kept a porous polymer flat sheet membrane for mbr comprising a hydrophobic porous polymer membrane forming a network structure and a sheet substrate supporting it characterized in that at least surface of the porous polymer membrane is coated and fixed with an insolubilized hydroxypropyl cellulose that a ratio of the hydroxypropyl cellulose to the porous polymer membrane is to by weight and that when nmr spectrum of the hydroxypropyl cellulose coated on and fixed to the membrane is measured using a nuclear magnetic resonance apparatus proton nmr an intensity ratio b a of a spectral peak b appearing at ppm to a spectral peak a appearing at ppm is to,B0 C0,2013
714,US10082637B2,0,Voice coil motor a vcm voice coil motor is disclosed the vcm including a rotor including a cylindrical bobbin for accommodating a lens and protruded at a bottom end with a boss and a coil block arranged at a periphery of the bobbin a stator including a magnet facing the coil block and a yoke fixing the magnet and an elastic member including a first elastic member formed with a through hole coupled to the boss of the bobbin and a second elastic member coupled to an upper end facing the bottom end of the bobbin wherein the boss is formed with a disengagement prevention unit preventing the first elastic member from being disengaged from the boss and the first elastic member is formed with a coupling unit contacting a joint where the disengagement prevention unit and the coupling unit meet,G0 H0 G1,2017
715,US9765474B1,0,Steamer system and method of use a clothing steamer system includes a body having an inner cavity a first steamer arm slidingly engaged to the body a second steamer arm slidingly engage to the body the second steamer arm being configured to move in a direction opposite to a direction of the first steamer arm a steamer disposed within the body and in gaseous communication with the first steamer arm and the second steamer arm and a fluid reservoir disposed within the body and in fluid communication with the steamer,D0 F2,2016
716,US4908916A,0,Connector pin with safety lock a draw bar pin includes an annular groove at its lower end which receives a plurality of balls carried in openings in a lock sleeve an actuator sleeve is movable between locked and unlocked positions and when in the locked position a cam shoulder holds the balls in the annular groove and when in the unlocked position they are free to move out of the groove for removal of the safety lock,F1,1989
717,US9810000B2,0,Electronic locking apparatus for a rollup door a locking apparatus for a rollup door comprising latch assembly including a latch a release lever a trigger a cam and a solenoid a housing that houses the latch assembly includes at least one opening that can removably receive a door striker member the latch assembly includes a locked unlocked status limit switch for detecting when the latch assembly is in an unlocked or locked position and an open closed status limit switch for detecting when the striker member is disengaged from the latch assembly and door is or can be open or closed the locking apparatus can be electronically unlocked or it can be unlocked manually by a user by actuating the solenoid which causes the latch to release the locked striker member,E0,2016
718,US9290652B2,0,Thermoplastic elastomer compounds exhibiting shape memory via thermo mechanical action a thermoplastic elastomer compound is disclosed having a high strain recovery rate and a high strain fixity rate to provide shape memory preferably manageable shape memory one type of thermoplastic elastomer compound is comprises a maleated styrenic block copolymer and polycaprolactone to achieve the shape memory a second type of thermoplastic elastomer compound comprises styrene ethylene butylene styrene and a paraffin wax having less than about oil content shape modes of articles made from the thermoplastic elastomer compound can be altered by at least one thermo mechanical event to cause deformation of the compound from a first shape to a second shape with retention of the compound in the second shape for any reasonable time interval,C0,2012
719,US6243968A,0,Turning device for sludge and deposits and solar drier having a turning device a turning device for sludge and deposits is proposed which moves along differing paths spread out on a floor through the sludge or deposit the turning device can be used in a solar drier for sewage sludge or other deposits,F2,1999
720,US10100026B2,0,Process for treating homoserine based compound the present disclosure relates to the preparation of a useful compound which can be used as an intermediate for preparing an important compound in the industrial field from a homoserine based compound and provides a process for treating a homoserine based compound capable of mass producing a useful compound from a homoserine based compound in a simple manner with excellent efficiency,C0,2015
